Title,Date,Location,Description,ImageURL,User Name,Time_Zone,End_Date,Long_Lat
Marc Savard Comedy Hypnosis in Las Vegas,04/04/18 10:00 PM,"V Theater at Planet Hollywood Las Vegas, 3663 S Las Vegas Boulevard Suite 360a, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/003/843/375-0.jpeg_/marc-savard-comedy-hypnosis-75.jpeg,,PST,04/05/18 10:00 PM,"(36.11081, -115.1689)"
X COUNTRY in Las Vegas,04/04/18 10:00 PM,"Harrahs Improv Comedy Club (Las Vegas), 3475 South Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/477/469-2.jpeg_/x-country-69.jpeg,,PST,04/05/18 10:00 PM,"(36.1194645, -115.1716391)"
The Righteous Brothers in Las Vegas,04/04/18 06:00 PM,"Harrah's Las Vegas Casino & Hotel, 3475 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/094/829-9.jpeg_/righteous-brothers-29.jpeg,,PST,04/05/18 06:00 PM,"(36.1194645, -115.1716391)"
Piff the Magic Dragon in Las Vegas,04/04/18 08:00 PM,"Flamingo Hotel and Casino, 3555 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/025/318/079-4.jpeg_/piff-magic-dragon-79.jpeg,,PST,04/05/18 08:00 PM,"(36.1164409, -115.1707917)"
Jennifer Lopez - All I Have in Las Vegas,04/04/18 09:00 PM,"The Axis at Planet Hollywood Resort and Casino, 3667 S. Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/009/263/333-4.jpeg_/jennifer-lopez-33.jpeg,,PST,04/05/18 09:00 PM,"(36.1099696, -115.1700646)"
Criss Angel Mindfreak Live in Las Vegas,04/04/18 07:00 PM,"Luxor Las Vegas, 3900 Las Vegas Boulevard South, Las Vegas, Nevada 89119",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/000/529/452-4.jpeg_/criss-angel-52.jpeg,,PST,04/05/18 07:00 PM,"(36.09551, -115.1760672)"
Tenors of Rock in Las Vegas,04/04/18 08:00 PM,"Harrah's Las Vegas Casino & Hotel, 3475 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/037/495/984-0.jpeg_/tenors-rock-84.jpeg,,PST,04/05/18 08:00 PM,"(36.1194645, -115.1716391)"
Cirque du Soleil - Zumanity in Las Vegas,04/05/18 09:30 PM,"Zumanity Theatre at New York, New York Hotel and Casino, 3790 Las Vegas Boulevard South, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/027/548/227-8.png_/cirque-du-soleil-27.png,,PST,04/06/18 09:30 PM,"(36.1029705, -115.1747492)"
Jabbawockeez in Las Vegas,04/05/18 07:00 PM,"Jabbawockeez Theater at MGM Grand, 3799 S Las Vegas Blvd, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/022/093/076-6.jpeg_/jabbawockeez-76.jpeg,,PST,04/06/18 07:00 PM,"(36.1019861, -115.1708016)"
Anthony Cools in Las Vegas,04/05/18 09:00 PM,"The Anthony Cools Experience, 3655 South Las Vegas Boulevard, Las Vegas, Nevada 89109",,http://d1marr3m5x4iac.cloudfront.net/images/block/I0-001/014/427/052-0.jpeg_/anthony-cools-52.jpeg,,PST,04/06/18 09:00 PM,"(36.1129703, -115.1717457)"
