Event Picture Ref No,Event Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location ,Lat/Long,Website,Contact Number
Newyork_26.jpg,Zumanity by Cirque du Soleil,"It's Vegas; be a little provocative.Zumanity by Cirque du Soleil, is a seductive twist on reality, making the provocative playful and the forbidden electrifying! Part burlesque and part cabaret, Zumanity is one full night you'll never forget.",Shows,7:00:00 PM,9:00:00 PM,11.01.2019,31.12.2019,"Fri, Sat, Sun, Mon, Tue","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579","https://www.newyorknewyork.com/en/entertainment/zumanity.html S Las Vegas Blvd, Las Vegas, NV 89109",866 606 7111
Newyork_26.jpg,Zumanity by Cirque du Soleil,"It's Vegas; be a little provocative.Zumanity by Cirque du Soleil, is a seductive twist on reality, making the provocative playful and the forbidden electrifying! Part burlesque and part cabaret, Zumanity is one full night you'll never forget.",Shows,9:30:00 PM,11:30:00 PM,11.01.2019,31.12.2019,"Fri, Sat, Sun, Mon, Tue","3790 S Las Vegas Blvd, Las Vegas, NV 89109","36.102578, -115.174579","https://www.newyorknewyork.com/en/entertainment/zumanity.html S Las Vegas Blvd, Las Vegas, NV 89109",866 606 7111
