Event Picture Ref No,Event Name,Description,Interest,Start Time,Finish Time,Event Date,End Date,Reapeat,Location,Lat/Lon,Website,Contact Number
Bellagio_F.jpg,Hyde,"It starts with the most coveted location in Las Vegas, overlooking the Fountains of Bellagio. The space itself is built on mystery and is said to have been the opulent Italian villa of a famed Renaissance artist, who tailored seductive grand festival masks. With an eclectic and refined taste, the artist fashioned his surroundings with worldly treasures, complemented by Italian marbles, reclaimed woods, lavish chandeliers, and towering glass doors that led to a secluded Tuscan garden. This is the villa that has been artfully brought back to life by visionary design icon Philippe Starck as Hyde Bellagio.",Live music,5:00:00 PM,12:00:00 AM,01.01.2019,31.12.2019,"Mon, Thu, Sun","3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/hyde.html,702 693 8700
Bellagio_F.jpg,Hyde,"It starts with the most coveted location in Las Vegas, overlooking the Fountains of Bellagio. The space itself is built on mystery and is said to have been the opulent Italian villa of a famed Renaissance artist, who tailored seductive grand festival masks. With an eclectic and refined taste, the artist fashioned his surroundings with worldly treasures, complemented by Italian marbles, reclaimed woods, lavish chandeliers, and towering glass doors that led to a secluded Tuscan garden. This is the villa that has been artfully brought back to life by visionary design icon Philippe Starck as Hyde Bellagio.",Live music,5:00:00 PM,4:00:00 AM,01.01.2019,31.12.2019,"Tue, Wed, Fri, Sat","3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/hyde.html,702 693 8700
Bellagio_S.jpg,The Bank,"The exquisitely designed space of this club encompasses everything a guest at the Five Diamond-rated Bellagio has come to expect in nightlife. Hakkasan?s progressive legacy aligned with its unequalled customer service ensures that each client has an exceptional experience.
From a tradition of European bottle service to the exciting, high-energy atmosphere, The Bank earns its reputation as a world-class nightclub destination.

As they enter the stunning 6,600-square-foot space, guests are greeted by a sensuous foyer hinting at the nightlife fantasy within. Elegant VIP booths layer the dance floor in an impressive multi-tiered environment. The glass-encased dance floor, set at the lowest tier, creates a brilliant focal point in the center of the room.

Vivid custom-designed ambient and mood lighting on both the ceiling and floor create an ultra-sensory experience and a state-of-the-art sound system, built to suit the needs of all music types, brings the club to life every night. Simply stated, The Bank is elegant, exclusive and one of Las Vegas' most desirable places to party.",Live music,10:30:00 PM,4:00:00 AM,01.01.2019,31.12.2019,"Fri, Sat, Sun","3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/the-bank.html,702 588 5656
Bellagio_N.jpg,Petrossian Bar,"The elegant Petrossian gently sets the mood for sophisticated tastes and discerning palates.
Indulge in a splendid evening with live music from the one-of-a-kind Steinway grand or relax on one of the velvet couches that overlook the casino.

Savor house-made infused cocktails, the vodka sampler, smoked salmon and caviar or afternoon tea. An epicurean's delight, Petrossian Bar is the ultimate respite for enjoying the finer things in life.",Live music,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everyday,"3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/petrossian-bar.html,702 693 7111
,,,,,,,,,,,,
,,,,,,,,,,,,
