Event Picture,Business Name,Description,Interest,Start Time,End Time,Event Date,End Date,Repeat,Location,Lat/Lon,Website,Contact Number,Social media picture,Fb Followers,Twitter Follower,Instagram Followers
Aria_S.jpg,Bardot Brasserie ,Bardot Brasserie embraces the culture and feel of dining at a Parisian caf‚ with the focus and detail of a modern craft kitchen. This classic French brasserie experience offers traditional brasserie fare for dinner and weekend brunch.,Happy hours,5:00:00 PM,7:00:00 PM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/aria-cafe.html,702 590 8650,,,,
Aria_L.jpg,The Pub,"Located inside The Shops at Crystals, just off the ARIA main lobby, The Pub offers guests an opportunity to sit back, relax and enjoy delicious food and drinks. Inspired by the traditional British pub, the menu features classic and new pub dishes to satisfy  craving.
The Pub has an extensive selection of draft beers, from local brews to European classics, in addition to an array of wines and spirits including a special list of whiskies from around the world. Gather at The Pub to brunch together or catch a game, it?s the perfect spot for any occasion.""",Happy hours,3:00:00 PM,6:00:00 PM,01.01.2019,31.12.2019,Everyday,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/the-pub-at-the-shops-at-crystals.html,702 590 8650,,,,
Aria_T.jpg,Harringbone,"Herringbone offers the delights of bottomless mimosas  Sat and Sunday from 10 AM - 3 PM. Herringbone's ""Fish Meats Field"" social dining concept features a lounge-like setting indoors and dining al fresco. Diners can enjoy California-inspired coastal cuisine and the sounds of a nightly DJ in this dynamic setting.
The sweeping 5,500 square foot patio features covered cabanas as well as traditional tables surrounded by a lush garden landscape, bringing the restaurant?s locally sourced ethos to life and providing the ideal backdrop for a spirited al fresco meal. This is a dining concept that emphasizes socialization along with great, fresh flavors, creating a captivating, interactive experience.",Happy hours,10:00:00 AM,3:00:00 PM,01.01.2019,31.12.2019,"Sat, Sun","3730 S Las Vegas Blvd, Las Vegas, NV 89158",36.107349-115.176584,https://www.aria.com/en/restaurants/herringbone.html,702 590 8650,,,,
