Event Picture Ref No,Event Name,Description,Interest,Start Time,Finish Time,Event Date,End Date,Repeat,Location,Lat/Lon,Website,Contact Number
Bellagio_R.jpg,Sports Bar Loung,"With the focus on screens and scores, this bar stocks a wide selection of microbrews and traditional beverages. Sports Bar Lounge is conveniently located next to the stimulating atmosphere of our Race & Sports Book. Place your wager and feel the energy of being in the epicenter of adrenaline. Sports Bar Lounge features state-of-the-art TVs for the ultimate in precision viewing.",Sport bars,12:00:00 AM,11:59:00 PM,01.01.2019,31.12.2019,Everday,"3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/sports-bar-lounge.html,702 693 7111
Bellagio_K.jpg,Lily Bar & Lounge,"Welcome to Lily Bar & Lounge. Here, discerning patrons escape to an elite 3,393-square-foot retreat with lavish d‚cor and panoramic views of the surrounding casino floor. Imported Spanish stone tabletops and plush community-style ottomans, along with the lounge's brilliant mahogany colors and golden tones, create a sleek aesthetic. This upscale environment is the perfect complement to the lounge's unique and unexpected seasonal cocktail offerings crafted by a true master mixologist, as well as inspired music mixed by top DJs.
Whether you want to savor a signature cocktail mixed to perfection, mingle with fellow associates and glitterati or simply watch your favorite sports on one of several HDTVs, Lily's exemplary staff offers customizable services to help cater your every whim. Enjoy an unforgettable time at Lily Bar & Lounge",Sport bars,5:00:00 PM,3:00:00 AM,01.01.2019,31.12.2019,"Mon, Tue, Wed, Thu, Fri","3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/lily-bar-lounge.html,702 588 5656
Bellagio_K.jpg,Lily Bar & Lounge,"Welcome to Lily Bar & Lounge. Here, discerning patrons escape to an elite 3,393-square-foot retreat with lavish d‚cor and panoramic views of the surrounding casino floor. Imported Spanish stone tabletops and plush community-style ottomans, along with the lounge's brilliant mahogany colors and golden tones, create a sleek aesthetic. This upscale environment is the perfect complement to the lounge's unique and unexpected seasonal cocktail offerings crafted by a true master mixologist, as well as inspired music mixed by top DJs.
Whether you want to savor a signature cocktail mixed to perfection, mingle with fellow associates and glitterati or simply watch your favorite sports on one of several HDTVs, Lily's exemplary staff offers customizable services to help cater your every whim. Enjoy an unforgettable time at Lily Bar & Lounge",Sport bars,11:00:00 AM,3:00:00 AM,01.01.2019,31.12.2019,Sat,"3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/lily-bar-lounge.html,702 588 5656
Bellagio_K.jpg,Lily Bar & Lounge,"Welcome to Lily Bar & Lounge. Here, discerning patrons escape to an elite 3,393-square-foot retreat with lavish d‚cor and panoramic views of the surrounding casino floor. Imported Spanish stone tabletops and plush community-style ottomans, along with the lounge's brilliant mahogany colors and golden tones, create a sleek aesthetic. This upscale environment is the perfect complement to the lounge's unique and unexpected seasonal cocktail offerings crafted by a true master mixologist, as well as inspired music mixed by top DJs.
Whether you want to savor a signature cocktail mixed to perfection, mingle with fellow associates and glitterati or simply watch your favorite sports on one of several HDTVs, Lily's exemplary staff offers customizable services to help cater your every whim. Enjoy an unforgettable time at Lily Bar & Lounge",Sport bars,9:30:00 AM,3:00:00 AM,01.01.2019,31.12.2019,Sun,"3600 S Las Vegas Blvd, Las Vegas, NV 89109",36.112626-115.176705,https://www.bellagio.com/en/nightlife/lily-bar-lounge.html,702 588 5656
